row_index,id,dataset,variant,expected_answer,context,question,system_prompt_name,user_prompt_name,model_name,temperature,llm_response,llm_answer,answer_match
0,boolq_0,boolq,NR,True,"The fourth season of NCIS: New Orleans premiered on September 26, 2017 on CBS. The series continues to air following Bull, Tuesday at 10:00 p.m. (ET) and contained 24 episodes. The season concluded on May 15, 2018.",is ncis new orleans over for the season,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,True
1,boolq_1,boolq,NR,False,"All branches of the U.S. Military currently prohibit beards for a vast majority of recruits, although some mustaches are still allowed, based on policies that were initiated during the period of World War I.",can i have a beard in the military,no_reasoning_system_prompt,user_prompt,o3,1.0,false,false,True
2,boolq_2,boolq,NR,True,"While the Laws of the Game continue to provide for competitive scrums, a convention exists that some scrum rules are not enforced. During the 1970s, scrum penalties for feeding the ball into the legs of the second row, packs moving off the ``mark'' or collapsing the scrum were seen as unattractive. The ability of teams to win a game purely on goals from scrum penalties was also seen as unfair. In an effort to improve this situation, changes to rules and their enforcement were made. The number of scrums was reduced with the introduction of the ``handover'' after a team has used a set of six tackles, the differential penalty, one which cannot be kicked at goal was brought in for offences at scrums and referees ceased enforcing some rules regarding feeding the ball into scrum. Aided by this change, it is common for professional teams not to fully contest scrums, according to their choice of tactics.",can you contest a scrum in rugby league,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,True
3,boolq_3,boolq,NR,True,"Now You See Me is a series of heist thriller films written by Ed Solomon, Boaz Yakin, and Edward Ricourt. They focus on the actions of a team of illusionists named ``The Four Horsemen'' who pull off near impossible heists. The series features an ensemble cast including Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, Michael Caine, Lizzy Caplan, and Morgan Freeman. The first film was released in 2013, while the second was released in 2016, and a third film is currently in development and set to be released in 2019. The series has received mixed reviews from critics and audiences and grossed nearly $700 million worldwide.",will there be another now you see me movie,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,True
4,boolq_4,boolq,NR,False,"An acute triangle is a triangle with all three angles acute (less than 90°). An obtuse triangle is one with one obtuse angle (greater than 90°) and two acute angles. Since a triangle's angles must sum to 180°, no triangle can have more than one obtuse angle.",is it possible to have a triangle with two obtuse angles,no_reasoning_system_prompt,user_prompt,o3,1.0,false,false,True
5,boolq_5,boolq,NR,False,"St George's Chapel at Windsor Castle in England, is a chapel designed in the high-medieval Gothic style. It is both a Royal Peculiar, a church under the direct jurisdiction of the monarch, and the Chapel of the Order of the Garter. Seating approximately 800, it is located in the Lower Ward of the castle.",is st george's chapel in westminster abbey,no_reasoning_system_prompt,user_prompt,o3,1.0,false,false,True
6,boolq_6,boolq,NR,True,"San Juan, as a settlement of the Spanish Empire, was used by merchant and military ships traveling from Spain as the first stopover in the Americas. Because of its prominence in the Caribbean, a network of fortifications was built to protect the transports of gold and silver from the New World to Europe. Because of the rich cargoes, San Juan became a target of the foreign powers of the time.",is san juan puerto rico in the caribbean,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,True
7,boolq_7,boolq,NR,False,"Announced in April 2000 at the New York Auto Show and arriving in late 2000 in Japan and January 2001 in North America, the Highlander became one of the first car-based mid-size SUV or mid-size crossovers. The Highlander is the crossover counterpart to the more rugged, truck-based midsize 4Runner and became Toyota's best-selling SUV before being surpassed by the smaller RAV4 in 2006. In Japan, the Kluger is exclusive to dealership network called Toyota NETZ as a larger alternative to the RAV4.",is the toyota highlander on a truck frame,no_reasoning_system_prompt,user_prompt,o3,1.0,false,false,True
8,boolq_8,boolq,NR,False,"Some schools around America were integrated before the mid-20th century, the first ever school being Lowell High School in Massachusetts, which has accepted students of all races at its inception. The earliest known African American student, Caroline Van Vronker, attended the school in 1843. The integration of all American schools was a major catalyst for the civil rights action and racial violence that occurred in the United States during the latter half of the 20th century.",was integration the rule in the northern states,no_reasoning_system_prompt,user_prompt,o3,1.0,false,false,True
9,boolq_9,boolq,NR,True,Every rhombus is a parallelogram and a kite. A rhombus with right angles is a square.,do all rhombuses have 2 pairs of parallel sides,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,True
10,boolq_10,boolq,NR,True,"Liquefied petroleum gas or liquid petroleum gas (LPG or LP gas), also referred to as simply propane or butane, are flammable mixtures of hydrocarbon gases used as fuel in heating appliances, cooking equipment, and vehicles.",is liquid petroleum gas the same as propane,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,True
11,boolq_11,boolq,NR,True,"A semi-presidential system or dual executive system is a system of government in which a president exists alongside a prime minister and a cabinet, with the latter being responsible to the legislature of a state. It differs from a parliamentary republic in that it has a popularly elected head of state, who is more than a purely ceremonial figurehead, and from the presidential system in that the cabinet, although named by the president, is responsible to the legislature, which may force the cabinet to resign through a motion of no confidence.",can a country have a president and a prime minister,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,True
12,boolq_12,boolq,NR,False,"Nuclear power is the use of nuclear reactions that release nuclear energy to generate heat, which most frequently is then used in steam turbines to produce electricity in a nuclear power plant. Nuclear power can be obtained from nuclear fission, nuclear decay and nuclear fusion. Presently, the vast majority of electricity from nuclear power is produced by nuclear fission of elements in the actinide series of the periodic table. Nuclear decay processes are used in niche applications such as radioisotope thermoelectric generators. The possibility of generating electricity from nuclear fusion is still at a research phase with no commercial applications. This article mostly deals with nuclear fission power for electricity generation.",is nuclear power the same as nuclear energy,no_reasoning_system_prompt,user_prompt,o3,1.0,false,false,True
13,boolq_13,boolq,NR,False,"Greece in the Roman era describes the period of Greek history when it was dominated by the Roman republic, the Roman Empire and the Byzantine Empire (collectively, the Roman era). It began with the Roman victory over the Corinthians, at the Battle of Corinth (146 BC). It continued with the adoption of the city of Byzantium by the Emperor Constantine the Great as the capital of the Roman Empire (as Nova Roma, later Constantinople) in AD 330. After this date, the Eastern Empire became largely Greek speaking.",were greece and rome around at the same time,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,False
14,boolq_14,boolq,NR,False,"In the United States income tax system, adjusted gross income (AGI) is an individual's total gross income minus specific deductions. Taxable income is adjusted gross income minus allowances for personal exemptions and itemized deductions. For most individual tax purposes, AGI is more relevant than gross income.",is adjusted gross income the same as taxable income,no_reasoning_system_prompt,user_prompt,o3,1.0,false,false,True
15,boolq_15,boolq,NR,True,"The drinking age in Wisconsin is 21. Those under the legal drinking age may be served, possess, or consume alcohol if they are with a parent, legal guardian, or spouse who is of legal drinking age. Those age 18-20 may also be served, possess or consumer alcohol if they are with a parent, legal guardian, or spouse who is of legal drinking age. Those age 18 to 20 may also possess (but not consume) alcohol as part of their employment.",can you drink alcohol with your parents in wisconsin,no_reasoning_system_prompt,user_prompt,o3,1.0,true,true,True
