row_index,id,dataset,variant,expected_answer,context,question,system_prompt_name,user_prompt_name,model_name,temperature,llm_response
0,boolq_0,boolq,AF,True,"The fourth season of NCIS: New Orleans premiered on September 26, 2017 on CBS. The series continues to air following Bull, Tuesday at 10:00 p.m. (ET) and contained 24 episodes. The season concluded on May 15, 2018.",is ncis new orleans over for the season,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"true
###
The context says the fourth season of NCIS: New Orleans concluded on May 15, 2018. Since it concluded, it was over for the season."
1,boolq_1,boolq,AF,False,"All branches of the U.S. Military currently prohibit beards for a vast majority of recruits, although some mustaches are still allowed, based on policies that were initiated during the period of World War I.",can i have a beard in the military,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"false
###
The context states that all branches of the U.S. Military currently prohibit beards for a vast majority of recruits, though some mustaches are allowed. Therefore, to the question of whether you can have a beard in the military, the answer is false based on the provided context."
2,boolq_2,boolq,AF,True,"While the Laws of the Game continue to provide for competitive scrums, a convention exists that some scrum rules are not enforced. During the 1970s, scrum penalties for feeding the ball into the legs of the second row, packs moving off the ``mark'' or collapsing the scrum were seen as unattractive. The ability of teams to win a game purely on goals from scrum penalties was also seen as unfair. In an effort to improve this situation, changes to rules and their enforcement were made. The number of scrums was reduced with the introduction of the ``handover'' after a team has used a set of six tackles, the differential penalty, one which cannot be kicked at goal was brought in for offences at scrums and referees ceased enforcing some rules regarding feeding the ball into scrum. Aided by this change, it is common for professional teams not to fully contest scrums, according to their choice of tactics.",can you contest a scrum in rugby league,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"true
###
The context says the Laws of the Game continue to provide for competitive scrums, and it also states that professional teams may choose not to fully contest scrums as a matter of tactics. This means scrums can be contested in rugby league, even if some rules are not strictly enforced in practice."
3,boolq_3,boolq,AF,True,"Now You See Me is a series of heist thriller films written by Ed Solomon, Boaz Yakin, and Edward Ricourt. They focus on the actions of a team of illusionists named ``The Four Horsemen'' who pull off near impossible heists. The series features an ensemble cast including Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, Michael Caine, Lizzy Caplan, and Morgan Freeman. The first film was released in 2013, while the second was released in 2016, and a third film is currently in development and set to be released in 2019. The series has received mixed reviews from critics and audiences and grossed nearly $700 million worldwide.",will there be another now you see me movie,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"true
###
The context states that the first film was released in 2013, the second in 2016, and ""a third film is currently in development and set to be released in 2019."" Therefore, there will be another Now You See Me movie."
4,boolq_4,boolq,AF,False,"An acute triangle is a triangle with all three angles acute (less than 90°). An obtuse triangle is one with one obtuse angle (greater than 90°) and two acute angles. Since a triangle's angles must sum to 180°, no triangle can have more than one obtuse angle.",is it possible to have a triangle with two obtuse angles,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"false
###
The context states that a triangle’s angles sum to 180°. An obtuse angle is greater than 90°, so two obtuse angles would already add to more than 180°, which is impossible for a triangle. Therefore, a triangle cannot have two obtuse angles."
5,boolq_5,boolq,AF,False,"St George's Chapel at Windsor Castle in England, is a chapel designed in the high-medieval Gothic style. It is both a Royal Peculiar, a church under the direct jurisdiction of the monarch, and the Chapel of the Order of the Garter. Seating approximately 800, it is located in the Lower Ward of the castle.",is st george's chapel in westminster abbey,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"false
###
The context states that St George's Chapel is located at Windsor Castle in England, specifically in the Lower Ward of the castle. Therefore, it is not in Westminster Abbey."
6,boolq_6,boolq,AF,True,"San Juan, as a settlement of the Spanish Empire, was used by merchant and military ships traveling from Spain as the first stopover in the Americas. Because of its prominence in the Caribbean, a network of fortifications was built to protect the transports of gold and silver from the New World to Europe. Because of the rich cargoes, San Juan became a target of the foreign powers of the time.",is san juan puerto rico in the caribbean,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"true
###
The context states that San Juan had prominence in the Caribbean and was a key stopover in the Americas. Since the question asks whether San Juan, Puerto Rico is in the Caribbean, the context directly supports that it is."
7,boolq_7,boolq,AF,False,"Announced in April 2000 at the New York Auto Show and arriving in late 2000 in Japan and January 2001 in North America, the Highlander became one of the first car-based mid-size SUV or mid-size crossovers. The Highlander is the crossover counterpart to the more rugged, truck-based midsize 4Runner and became Toyota's best-selling SUV before being surpassed by the smaller RAV4 in 2006. In Japan, the Kluger is exclusive to dealership network called Toyota NETZ as a larger alternative to the RAV4.",is the toyota highlander on a truck frame,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"false
###
The context says the Highlander is ""one of the first car-based mid-size SUV or mid-size crossovers"" and contrasts it with the ""more rugged, truck-based midsize 4Runner."" That means the Highlander is not on a truck frame."
8,boolq_8,boolq,AF,False,"Some schools around America were integrated before the mid-20th century, the first ever school being Lowell High School in Massachusetts, which has accepted students of all races at its inception. The earliest known African American student, Caroline Van Vronker, attended the school in 1843. The integration of all American schools was a major catalyst for the civil rights action and racial violence that occurred in the United States during the latter half of the 20th century.",was integration the rule in the northern states,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"false
###
The context says only that some schools around America were integrated before the mid-20th century and gives Lowell High School in Massachusetts as the first example. It does not say integration was the general rule in the northern states. Since only some schools were integrated, the statement that integration was the rule in the northern states is not supported."
9,boolq_9,boolq,AF,True,Every rhombus is a parallelogram and a kite. A rhombus with right angles is a square.,do all rhombuses have 2 pairs of parallel sides,answer_first_system_prompt,user_prompt,gpt-5.4,0.0,"true
###
From the context, every rhombus is a parallelogram. A parallelogram has two pairs of parallel sides. Therefore, all rhombuses have 2 pairs of parallel sides."
